epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.4643,1.14367,1.22635,1.31084,0.76881,0.56708,0.65043,0.33701,1.66308,1.36426,1.74726,0.00029705,0.00029705,0.00029705
43,99.6228,1.1356,1.21104,1.29465,0.77555,0.55028,0.6644,0.34953,1.63286,1.36128,1.70227,0.0002921,0.0002921,0.0002921
44,101.943,1.14287,1.21219,1.30581,0.73415,0.59805,0.68923,0.35033,1.61305,1.32186,1.6892,0.00028715,0.00028715,0.00028715
45,104.618,1.10887,1.18456,1.29002,0.77289,0.5892,0.69177,0.3741,1.59047,1.32115,1.68238,0.0002822,0.0002822,0.0002822
46,106.882,1.1023,1.15843,1.28393,0.76922,0.62445,0.66504,0.35446,1.60656,1.37207,1.68947,0.00027725,0.00027725,0.00027725
47,109.009,1.08988,1.12676,1.25514,0.81947,0.57705,0.67741,0.35383,1.66126,1.34975,1.71263,0.0002723,0.0002723,0.0002723
48,111.144,1.12119,1.13125,1.28217,0.82469,0.56028,0.70997,0.38243,1.61257,1.31678,1.70257,0.00026735,0.00026735,0.00026735
49,113.288,1.06718,1.14658,1.26152,0.84494,0.54303,0.67159,0.34764,1.68596,1.43171,1.77868,0.0002624,0.0002624,0.0002624
50,115.437,1.08507,1.14855,1.27087,0.81744,0.56626,0.69779,0.37698,1.62544,1.40248,1.70999,0.00025745,0.00025745,0.00025745
51,117.779,1.10292,1.0834,1.27013,0.82928,0.57994,0.71613,0.39686,1.61289,1.33915,1.69544,0.0002525,0.0002525,0.0002525
52,119.983,1.08657,1.09214,1.25982,0.82219,0.58595,0.71534,0.40082,1.63771,1.29077,1.72624,0.00024755,0.00024755,0.00024755
53,122.234,1.07966,1.09491,1.26461,0.80925,0.60032,0.73067,0.39857,1.64008,1.27219,1.70311,0.0002426,0.0002426,0.0002426
54,124.363,1.07872,1.08184,1.26554,0.81367,0.57632,0.7019,0.39561,1.61252,1.33847,1.69525,0.00023765,0.00023765,0.00023765
55,126.599,1.05661,1.06266,1.23908,0.86463,0.57828,0.7388,0.39445,1.58735,1.27758,1.67263,0.0002327,0.0002327,0.0002327
56,128.91,1.04425,1.02958,1.23044,0.80301,0.59698,0.73159,0.39149,1.60401,1.32985,1.70928,0.00022775,0.00022775,0.00022775
57,131.109,1.0241,1.06159,1.22161,0.81931,0.62654,0.74024,0.3847,1.58802,1.29477,1.69181,0.0002228,0.0002228,0.0002228
58,133.309,0.99996,1.06136,1.21096,0.83758,0.5757,0.72076,0.38863,1.58905,1.3184,1.67227,0.00021785,0.00021785,0.00021785
59,135.533,1.00867,1.00418,1.2114,0.79945,0.61385,0.73229,0.40067,1.54485,1.27664,1.62811,0.0002129,0.0002129,0.0002129
60,138.084,1.00685,0.98148,1.21737,0.81517,0.62673,0.73309,0.39083,1.56671,1.26014,1.67473,0.00020795,0.00020795,0.00020795
61,140.429,0.96679,0.9497,1.18286,0.8387,0.61649,0.7334,0.39675,1.56959,1.20923,1.68643,0.000203,0.000203,0.000203
62,142.633,1.01274,0.99859,1.20223,0.89007,0.58159,0.74574,0.39702,1.58725,1.20143,1.68402,0.00019805,0.00019805,0.00019805
63,144.792,0.99209,0.97391,1.18751,0.86769,0.60293,0.74411,0.4235,1.54655,1.18851,1.6391,0.0001931,0.0001931,0.0001931
64,147.015,0.97173,0.9414,1.18361,0.83929,0.61583,0.74479,0.38685,1.59236,1.20684,1.67429,0.00018815,0.00018815,0.00018815
65,149.14,1.00468,0.97191,1.21323,0.8447,0.60564,0.73427,0.39385,1.54613,1.22774,1.64948,0.0001832,0.0001832,0.0001832
